,voltage,Cd_50_ppb_0,Cd_50_ppb_1,Cd_50_ppb_2,Cd_50_ppb_3,Cd_125_ppb_4,Cd_125_ppb_5,Cd_125_ppb_6,Cd_125_ppb_7,Cd_250_ppb_8,Cd_250_ppb_9,Cd_250_ppb_10,Cd_250_ppb_11,Cd_375_ppb_12,Cd_375_ppb_13,Cd_375_ppb_14,Cd_375_ppb_15,Cd_500_ppb_16,Cd_500_ppb_17,Cd_500_ppb_18,Cd_500_ppb_19,Cd_625_ppb_20,Cd_625_ppb_21,Cd_625_ppb_22,Cd_625_ppb_23,Cd_750_ppb_24,Cd_750_ppb_25,Cd_750_ppb_26,Cd_750_ppb_27,Cd_825_ppb_28,Cd_825_ppb_29,Cd_825_ppb_30,Cd_825_ppb_31,Cd_1000_ppb_32,Cd_1000_ppb_33,Cd_1000_ppb_34,Cd_1000_ppb_35
40,0.8399999999999999,-0.434263,-0.620375,-0.434263,-0.558338,-0.682413,-0.74445,-0.74445,-0.868525,-0.868525,-1.054638,-0.930563,-0.868525,-1.054638,-1.24075,-1.178713,-1.302788,-1.364825,-1.550938,-1.4889,-1.675013,-1.675013,-1.923163,-1.799088,-1.9852,-2.047238,-2.357425,-2.171313,-2.357425,-2.357425,-2.853725,-2.357425,-2.667613,-3.163913,-3.660213,-3.039838,-3.4741
41,0.8359999999999999,-0.4963,-0.558338,-0.434263,-0.558338,-0.682413,-0.806488,-0.74445,-0.868525,-0.868525,-0.9926,-0.930563,-0.868525,-1.116675,-1.24075,-1.178713,-1.302788,-1.364825,-1.550938,-1.4889,-1.675013,-1.73705,-1.9852,-1.799088,-1.9852,-2.047238,-2.357425,-2.109275,-2.357425,-2.419463,-2.853725,-2.357425,-2.72965,-3.163913,-3.660213,-3.039838,-3.4741
42,0.8319999999999999,-0.4963,-0.620375,-0.4963,-0.558338,-0.620375,-0.74445,-0.74445,-0.868525,-0.868525,-0.9926,-0.930563,-0.868525,-1.178713,-1.302788,-1.178713,-1.364825,-1.364825,-1.550938,-1.4889,-1.675013,-1.73705,-1.9852,-1.799088,-1.9852,-2.109275,-2.357425,-2.171313,-2.419463,-2.419463,-2.853725,-2.295388,-2.72965,-3.22595,-3.660213,-3.039838,-3.4741
43,0.8279999999999998,-0.434263,-0.620375,-0.434263,-0.558338,-0.682413,-0.74445,-0.74445,-0.868525,-0.868525,-1.054638,-0.9926,-0.868525,-1.116675,-1.24075,-1.178713,-1.364825,-1.364825,-1.550938,-1.426863,-1.675013,-1.799088,-1.9852,-1.861125,-1.9852,-2.109275,-2.357425,-2.109275,-2.357425,-2.419463,-2.853725,-2.357425,-2.72965,-3.163913,-3.660213,-3.101875,-3.4741
44,0.8239999999999998,-0.558338,-0.620375,-0.434263,-0.558338,-0.682413,-0.74445,-0.74445,-0.868525,-0.930563,-1.054638,-0.930563,-0.868525,-1.054638,-1.24075,-1.178713,-1.364825,-1.364825,-1.550938,-1.426863,-1.675013,-1.73705,-1.9852,-1.73705,-1.9852,-2.109275,-2.357425,-2.109275,-2.419463,-2.419463,-2.853725,-2.295388,-2.72965,-3.22595,-3.72225,-3.039838,-3.536138
45,0.8199999999999998,-0.4963,-0.620375,-0.4963,-0.558338,-0.682413,-0.806488,-0.74445,-0.868525,-0.868525,-1.054638,-0.9926,-0.868525,-1.116675,-1.302788,-1.178713,-1.364825,-1.364825,-1.612975,-1.426863,-1.675013,-1.799088,-1.9852,-1.73705,-2.047238,-2.109275,-2.357425,-2.23335,-2.419463,-2.419463,-2.853725,-2.419463,-2.72965,-3.22595,-3.660213,-3.163913,-3.536138
46,0.8159999999999998,-0.4963,-0.558338,-0.434263,-0.558338,-0.74445,-0.806488,-0.74445,-0.868525,-0.930563,-1.054638,-0.930563,-0.868525,-1.116675,-1.24075,-1.24075,-1.364825,-1.302788,-1.612975,-1.4889,-1.675013,-1.799088,-1.923163,-1.861125,-2.047238,-2.109275,-2.419463,-2.171313,-2.419463,-2.419463,-2.853725,-2.357425,-2.72965,-3.22595,-3.660213,-3.039838,-3.536138
47,0.8119999999999998,-0.4963,-0.620375,-0.4963,-0.558338,-0.74445,-0.806488,-0.74445,-0.868525,-0.930563,-0.9926,-0.930563,-0.868525,-1.178713,-1.24075,-1.178713,-1.302788,-1.364825,-1.550938,-1.4889,-1.675013,-1.799088,-1.923163,-1.799088,-2.109275,-2.109275,-2.419463,-2.171313,-2.419463,-2.419463,-2.853725,-2.357425,-2.791688,-3.22595,-3.72225,-3.101875,-3.598175
48,0.8079999999999998,-0.4963,-0.620375,-0.4963,-0.558338,-0.682413,-0.868525,-0.74445,-0.930563,-0.930563,-1.054638,-0.930563,-0.930563,-1.116675,-1.302788,-1.116675,-1.364825,-1.426863,-1.612975,-1.4889,-1.675013,-1.799088,-1.9852,-1.799088,-2.047238,-2.109275,-2.419463,-2.171313,-2.419463,-2.4815,-2.915763,-2.357425,-2.791688,-3.22595,-3.660213,-3.101875,-3.598175
49,0.8039999999999998,-0.4963,-0.620375,-0.4963,-0.558338,-0.682413,-0.806488,-0.74445,-0.930563,-0.868525,-1.054638,-0.9926,-0.930563,-1.116675,-1.302788,-1.178713,-1.426863,-1.426863,-1.612975,-1.4889,-1.675013,-1.799088,-2.047238,-1.799088,-2.047238,-2.171313,-2.419463,-2.171313,-2.419463,-2.419463,-2.853725,-2.419463,-2.791688,-3.287988,-3.72225,-3.163913,-3.536138
50,0.7999999999999998,-0.4963,-0.620375,-0.4963,-0.620375,-0.74445,-0.806488,-0.74445,-0.930563,-0.930563,-0.9926,-0.930563,-0.930563,-1.116675,-1.302788,-1.116675,-1.364825,-1.426863,-1.550938,-1.4889,-1.612975,-1.799088,-2.047238,-1.799088,-2.109275,-2.109275,-2.419463,-2.171313,-2.4815,-2.419463,-2.915763,-2.419463,-2.791688,-3.22595,-3.72225,-3.101875,-3.536138
51,0.7959999999999998,-0.4963,-0.620375,-0.4963,-0.558338,-0.682413,-0.806488,-0.806488,-0.930563,-0.930563,-1.054638,-0.930563,-0.930563,-1.116675,-1.302788,-1.178713,-1.426863,-1.364825,-1.675013,-1.4889,-1.675013,-1.799088,-2.047238,-1.799088,-2.047238,-2.047238,-2.419463,-2.171313,-2.4815,-2.419463,-2.915763,-2.419463,-2.853725,-3.287988,-3.784288,-3.101875,-3.598175
52,0.7919999999999998,-0.558338,-0.620375,-0.4963,-0.620375,-0.682413,-0.806488,-0.806488,-0.930563,-0.868525,-1.054638,-0.930563,-0.930563,-1.116675,-1.302788,-1.24075,-1.364825,-1.426863,-1.612975,-1.550938,-1.675013,-1.799088,-1.9852,-1.799088,-2.047238,-2.109275,-2.357425,-2.171313,-2.4815,-2.4815,-2.915763,-2.419463,-2.72965,-3.22595,-3.784288,-3.101875,-3.536138
53,0.7879999999999998,-0.558338,-0.620375,-0.4963,-0.620375,-0.682413,-0.806488,-0.806488,-0.930563,-0.868525,-1.116675,-0.9926,-0.930563,-1.178713,-1.302788,-1.178713,-1.426863,-1.364825,-1.612975,-1.550938,-1.73705,-1.861125,-2.047238,-1.799088,-2.047238,-2.171313,-2.357425,-2.171313,-2.4815,-2.419463,-2.915763,-2.419463,-2.791688,-3.287988,-3.72225,-3.101875,-3.660213
