,voltage,Cu_500_ppb_0,Cu_500_ppb_1,Cu_500_ppb_2,Cu_500_ppb_3,Cu_500_ppb_4,Cu_500_ppb_5,Cu_500_ppb_6,Cu_500_ppb_7,Cu_1000_ppb_8,Cu_1000_ppb_9,Cu_1000_ppb_10,Cu_1000_ppb_11,Cu_1000_ppb_12,Cu_1000_ppb_13,Cu_1000_ppb_14,Cu_2000_ppb_15,Cu_2000_ppb_16,Cu_2000_ppb_17,Cu_2000_ppb_18,Cu_2000_ppb_19,Cu_2000_ppb_20,Cu_3000_ppb_21,Cu_3000_ppb_22
559,-0.7679999999999998,9.057475,2.543538,1.923163,2.047238,2.419463,2.667613,2.295388,2.543538,2.4815,2.543538,3.350025,2.853725,2.915763,2.605575,2.915763,3.039838,3.287988,2.72965,2.72965,3.163913,3.101875,2.915763,3.72225
560,-0.7639999999999998,9.057475,2.543538,1.923163,1.9852,2.419463,2.605575,2.23335,2.419463,2.4815,2.543538,3.22595,2.791688,2.853725,2.605575,2.915763,3.101875,3.350025,2.605575,2.72965,3.22595,3.163913,2.853725,3.72225
561,-0.7599999999999998,8.995438,2.543538,1.861125,1.9852,2.419463,2.605575,2.23335,2.4815,2.419463,2.543538,3.163913,2.791688,2.853725,2.605575,2.853725,3.101875,3.287988,2.667613,2.72965,3.101875,3.163913,2.853725,3.72225
562,-0.7559999999999998,9.119513,2.543538,1.861125,1.923163,2.295388,2.605575,2.23335,2.357425,2.419463,2.543538,3.163913,2.72965,2.853725,2.543538,2.853725,3.039838,3.350025,2.605575,2.667613,3.163913,3.163913,2.853725,3.72225
563,-0.7519999999999998,8.809325,2.543538,1.861125,1.9852,2.295388,2.4815,2.171313,2.357425,2.357425,2.4815,3.101875,2.72965,2.791688,2.605575,2.791688,3.039838,3.287988,2.605575,2.667613,3.039838,3.101875,2.791688,3.72225
564,-0.7479999999999998,8.871363,2.4815,1.861125,1.923163,2.23335,2.543538,2.047238,2.295388,2.419463,2.4815,3.101875,2.667613,2.791688,2.543538,2.853725,3.101875,3.287988,2.543538,2.667613,2.9778,3.101875,2.791688,3.72225
565,-0.7439999999999998,8.9334,2.4815,1.799088,1.923163,2.23335,2.4815,2.047238,2.357425,2.419463,2.419463,3.039838,2.605575,2.72965,2.543538,2.791688,3.101875,3.350025,2.543538,2.667613,2.9778,3.101875,2.72965,3.72225
566,-0.7399999999999998,8.747288,2.4815,1.861125,1.923163,2.171313,2.419463,1.9852,2.23335,2.357425,2.419463,3.039838,2.543538,2.72965,2.543538,2.791688,3.039838,3.287988,2.4815,2.605575,3.039838,3.101875,2.72965,3.660213
567,-0.7359999999999998,8.809325,2.419463,1.861125,1.9852,2.109275,2.419463,1.9852,2.23335,2.295388,2.419463,2.9778,2.605575,2.72965,2.4815,2.791688,3.039838,3.287988,2.4815,2.605575,2.9778,3.039838,2.72965,3.660213
568,-0.7319999999999998,8.747288,2.419463,1.799088,1.861125,2.109275,2.295388,1.9852,2.23335,2.295388,2.357425,2.915763,2.4815,2.605575,2.4815,2.791688,2.9778,3.287988,2.4815,2.605575,2.9778,3.039838,2.605575,3.660213
569,-0.7279999999999998,8.68525,2.357425,1.861125,1.923163,2.047238,2.295388,1.923163,2.171313,2.295388,2.295388,2.853725,2.543538,2.605575,2.419463,2.72965,2.9778,3.287988,2.419463,2.605575,2.915763,3.039838,2.605575,3.660213
570,-0.7239999999999998,8.623213,2.357425,1.73705,1.861125,2.047238,2.23335,1.923163,2.109275,2.23335,2.295388,2.791688,2.4815,2.605575,2.419463,2.791688,2.915763,3.22595,2.419463,2.543538,2.915763,3.039838,2.605575,3.598175
